# cSpell: disable
Symbol                                   ,Alias1      ,Alias2   ,Alias3 ,...
# 符号名称和数学对象
\[Pi]                                    ,p           ,pi
\[Infinity]                              ,inf
\[ExponentialE]                          ,ee
\[ImaginaryI]                            ,ii
\[ImaginaryJ]                            ,jj
# 字母和类似字母的形式
## 希腊字母
\[Alpha]                                 ,a           ,alpha
\[Beta]                                  ,b           ,beta
\[Gamma]                                 ,g           ,gamma
\[Delta]                                 ,d           ,delta
\[Epsilon]                               ,e           ,epsilon
\[CurlyEpsilon]                          ,ce          ,cepsilon
\[Zeta]                                  ,z           ,zeta
\[Eta]                                   ,h           ,et       ,eta
\[Theta]                                 ,q           ,th       ,theta
\[CurlyTheta]                            ,cq          ,cth      ,ctheta
\[Iota]                                  ,i           ,iota
\[Kappa]                                 ,k           ,kappa
\[CurlyKappa]                            ,ck          ,ckappa
\[Lambda]                                ,l           ,lambda
\[Mu]                                    ,m           ,mu
\[Nu]                                    ,n           ,nu
\[Xi]                                    ,x           ,xi
\[Omicron]                               ,om          ,omicron
\[Pi]                                    ,p           ,pi
\[CurlyPi]                               ,cp          ,cpi
\[Rho]                                   ,r           ,rho
\[CurlyRho]                              ,cr          ,crho
\[Sigma]                                 ,s           ,sigma
\[FinalSigma]                            ,fs
\[Tau]                                   ,t           ,tau
\[Upsilon]                               ,u           ,upsilon
\[Phi]                                   ,f           ,ph       ,phi
\[CurlyPhi]                              ,j           ,cph      ,cphi
\[Chi]                                   ,c           ,ch       ,chi
\[Psi]                                   ,y           ,ps       ,psi
\[Omega]                                 ,o           ,w        ,omega
\[Digamma]                               ,di          ,digamma
\[Koppa]                                 ,ko          ,koppa
\[Stigma]                                ,sti         ,stigma
\[Sampi]                                 ,sa          ,sampi
\[CapitalAlpha]                          ,A           ,Alpha
\[CapitalBeta]                           ,B           ,Beta
\[CapitalGamma]                          ,G           ,Gamma
\[CapitalDelta]                          ,D           ,Delta
\[CapitalEpsilon]                        ,E           ,Epsilon
\[CapitalZeta]                           ,Z           ,Zeta
\[CapitalEta]                            ,H           ,Et       ,Eta
\[CapitalTheta]                          ,Q           ,Th       ,Theta
\[CapitalIota]                           ,I           ,Iota
\[CapitalKappa]                          ,K           ,Kappa
\[CapitalLambda]                         ,L           ,Lambda
\[CapitalMu]                             ,M           ,Mu
\[CapitalNu]                             ,N           ,Nu
\[CapitalXi]                             ,X           ,Xi
\[CapitalOmicron]                        ,Om          ,Omicron
\[CapitalPi]                             ,P           ,Pi
\[CapitalRho]                            ,R           ,Rho
\[CapitalSigma]                          ,S           ,Sigma
\[CapitalTau]                            ,T           ,Tau
